"Marketing.expense","Production.expense","Budget","Lead_.Actor_Rating","Lead_Actress_rating","Director_rating","Producer_rating","Critic_rating","Trailer_views","Time_taken","Twitter_hastags","Avg_age_actors"
20.1264,59.62,36524.125,7.825,8.095,7.91,7.995,7.94,527367,109.6,223.84,23
20.5462,69.14,35668.655,7.505,7.65,7.44,7.47,7.44,494055,146.64,243.456,42
20.6474,59.36,38873.89,6.895,7.035,6.92,7.02,8.26,516279,185.36,225.344,45
21.381,59.36,39701.585,6.92,7.07,6.815,7.07,8.26,531448,176.48,225.792,55
20.597,59.36,35718.65,6.89,7.1,6.885,7.005,7.26,498425,143.48,284.592,53
21.7658,70.74,33396.66,7.065,7.265,7.15,7.4,8.96,459241,139.16,243.664,41
22.891,70.74,34285.46,6.98,7.075,6.875,7.17,7.96,400821,116.84,243.536,56
24.2248,70.74,31280.205,6.91,7.075,6.85,7,7.96,295168,118.6,242.64,55
23.4008,70.74,33352.22,6.665,6.725,6.575,6.855,7.96,412012,189.56,283.024,45
24.4978,70.74,35424.235,6.675,6.845,6.725,7.06,8.96,369595,120,222.4,29
22.3494,70.74,33379.995,6.865,7.035,6.745,6.905,8.96,451646,185.56,263.024,23
21.8756,70.74,32713.395,7.12,7.43,7.21,7.335,8.96,407557,110.68,203.472,57
32.5952,71.28,33046.695,7.64,7.705,7.535,7.705,6.8,472490,118.16,283.264,39
32.7592,71.28,33863.28,7.7,7.9,7.76,7.71,7.8,495311,139.28,262.912,49
32.5478,71.28,32407.87,7.7,7.825,7.64,7.84,6.8,497626,169.96,283.184,28
41.0786,71.28,32968.925,7.67,7.805,7.74,7.785,7.8,532331,109.24,203.696,46
35.684,71.28,33274.45,7.72,7.925,7.82,8.015,6.8,431225,109,222.8,56
36.0542,71.28,30308.08,8.1,8.24,8.07,8,6.8,448317,170.08,243.232,41
34.516,71.28,31813.485,8.01,8.175,8,8.215,7.8,463328,171.28,242.912,27
37.0408,71.28,33135.575,7.945,8.14,7.83,8.06,7.8,457361,183.84,283.136,23
44.6494,71.28,34118.81,7.91,8.01,7.845,8.275,6.8,387496,116.08,282.432,48
39.7686,71.28,32291.215,7.825,8.01,7.935,8.04,7.8,365213,149.8,262.32,29
35.0052,71.28,32907.82,7.655,7.965,7.64,7.94,7.8,414145,164.24,262.496,27
36.8108,71.28,31102.445,7.655,7.835,7.64,7.96,7.8,422375,187.56,262.224,35
33.4382,71.28,32291.215,7.53,7.705,7.645,7.755,6.8,436807,194.64,242.656,59
39.1154,71.28,33591.085,7.75,7.8,7.7,7.845,6.8,406866,173.92,262.368,20
